FMregion,FMcountry,Lat,Lon
Noachian Variations,Tacana,16.7531534,-91.3261083
Noachian Variations,Michoacan,18.6969063,-101.0094579
Noachian Variations,Zapotec,16.4510215,-97.8425833
Noachian Variations,Totonac,19.790347,-98.3890287
Noachian Variations,Tarascan,18.6969063,-101.0094579
Noachian Variations,Herschel Island Eskimo,69.5635848,-139.1918569
Noachian Variations,Abakan Tatar (Sagai),53.690212,91.3710001
Noachian Variations,Buryat,53.5214479,103.2909899
Noachian Variations,Altaic,38.4807383,97.7052648
Noachian Variations,"Fitzroy River area, Western Australia",-18.1726094,89.7583951
Noachian Variations,Minahassa Peninsula,-24.1446267,111.936031
Noachian Variations,Hindu,-1.676843,121.4932573
Noachian Variations,Siberia,57.2334676,90.5437461
Noachian Variations,Russia,57.2334676,90.5437461
Noachian Variations,Romania,45.5888104,16.0412525
Noachian Variations,Newcastle,55.002352,-1.7268828
Noachian Variations,Ireland,53.299224,-12.7031516
Noachian Variations,Armenia,39.9838623,40.5501139
Far South,Selknam (Ono),-53.7645753,-74.2285668
Far South,Tehuelche,-45.6920765,-78.2363331
Far South,Mapuche (Araucania),-38.1459636,-65.9165181
Gran Chaco,Toba,-38.8308157,-71.1715218
Gran Chaco,Nivaklé,4.3370161,88.9125733
Gran Chaco,Chorote,-21.6637296,-63.850447
Gran Chaco,Chiriguano,-22.5187987,-63.790575
Eastern Brazil,"Kaingang (Cayngang, Coroado)",-24.0967947,-61.4760567
Eastern Brazil,"Aché (Axe, Guayaki)",-28.0605259,-57.3298884
Eastern Brazil,Tupi,-23.3703595,-62.944166
Eastern Brazil,Bororo,-22.732746,-47.5675154
Eastern Brazil,Karajá (Caraya),-12.6574809,-60.4266995
Eastern Brazil,Shavante (Xavante),-10.6520347,-50.8101494
Eastern Brazil,Kamaiurá,-12.6574809,-60.4266995
Eastern Brazil,Ramkokamekra,-13.7025895,-69.6892262
Amazon Basin,Paresi (Paressi),-14.3325751,-58.8744106
Amazon Basin,Nambikwára (Nambicuara),-2.462608,-54.7312462
Amazon Basin,Tacana,16.7531534,-91.3261083
Amazon Basin,Ipurina,-9.0656386,-67.2531829
Amazon Basin,"Paumari, Abederi, Catauxi",-6.8001789,-68.373487
Amazon Basin,Cashinahua (Kachinaua),-9.5364578,-72.4193936
Amazon Basin,Urarina,-4.2912848,-76.0867913
Amazon Basin,Tariana,-0.639139,-68.4234499
Amazon Basin,Vaupes River,0.9734193,-71.763929
Amazon Basin,Yanomami,1.981956,-66.1492043
Amazon Basin,"Maquiritari (Makiritare, Yekuana)",1.8441615,-64.1047671
Amazon Basin,Sikuani,4.135846,-73.6237917
Andes,Colla,-13.3918195,-71.9136847
Andes,Ancasmarca,-13.2516666,-71.9940328
Andes,Inca,-9.1305345,-84.0649192
Andes,Ancash,-9.416308,-78.8134365
Andes,Guanca and Chiquito,-2.8922687,-79.0243996
Andes,Huarochirí Quechua,-12.1379348,-76.2395383
Andes,Chayahuita (Kanpopiyapi),-9.1305345,-84.0649192
Andes,Cañari,-2.5243354,-79.3308892
Andes,Shuar,-6.3910993,-78.3274351
Andes,"Achuar-Shiwiar (Jivaro, Maina)",-1.8067807,-78.0022037
Andes,Murato (Candoshi),-1.8067807,-78.0022037
Andes,Canelos Quichua,-1.8067807,-78.0022037
Andes,Quichua,-1.8067807,-78.0022037
Andes,Napo Quichua,-0.6069707,-78.2893631
Andes,"Siona-Secoya (Angotero, Encabellao)",-0.9973366,-76.1645475
Andes,Guambiano,2.1444516,-77.9570637
Northern South America,Trio,3.9748623,-58.9420097
Northern South America,Macushi (Macusi),6.2647208,-63.3429431
Northern South America,Arekuna,6.3538558,-62.5094866
Northern South America,"Tamanac (Tamanaque, Tamanaku)",14.1057472,-84.7058943
Northern South America,Yaruro,6.1714726,-68.2949279
Northern South America,Muysca (Chibcha),6.8290083,-72.5475343
Northern South America,Arawak,5.4554555,-67.2583562
Northern South America,Guajiro,11.4257974,-73.5103044
Northern South America,Kogi,10.8173897,-73.5860087
Caribbean,Carib,14.3696795,-69.2601295
Caribbean,Taino,20.3706885,-79.6565945
Caribbean,Ciboney (Siboney),20.3706885,-79.6565945
Caribbean,Cuna (Kuna),9.0579936,-78.8827622
Mesoamerica,Nicarao,12.8593513,-87.2621957
Mesoamerica,Kekchi,15.5947115,-90.6747903
Mesoamerica,Quiché,15.4273078,-91.432998
Mesoamerica,Yucatan Maya (Yucatec),19.5690872,-91.369315
Mesoamerica,Lacandon Maya,17.0197034,-91.599842
Mesoamerica,Tzotzil Maya,16.2557438,-93.3760324
Mesoamerica,Chol,19.075908,-98.3470757
Mesoamerica,Tzeltal,16.2557438,-93.3760324
Mesoamerica,Pololuca,18.8783852,-140.9536652
Mesoamerica,Zapotec,16.9360628,-96.7104451
Mesoamerica,Trique,17.0812951,-96.7707511
Mesoamerica,Mixtec,17.0812951,-96.7707511
Mesoamerica,Oaxaca,17.0812951,-96.7707511
Mesoamerica,Tlapanec,17.5987367,-101.2171535
Mesoamerica,Tlaxcalan,19.4167798,-98.4471131
Mesoamerica,Aztec (Nahuatl),23.2936101,-111.6474888
Mesoamerica,Totonac,19.39068,-99.283699
Mesoamerica,Toltec,19.9999994,-99.4087548
Mesoamerica,Tarascan,19.151331,-103.0219102
Mesoamerica,Huastec,19.39068,-99.283699
Mesoamerica,Tepecano,20.8234467,-105.8472198
Mesoamerica,Cora,23.2936101,-111.6474888
Mesoamerica,Huichol,27.5066796,-106.3009335
Southwest,American Cowboy,37.6,-95.665
Southwest,Tepehua,20.297699,-103.2014658
Southwest,Tarahumara,28.6708592,-106.2047037
